time,load_mw,wind_onshore_pu,wind_offshore_pu,solar_pu
2023-12-31 23:00:00,2737.949689,0.370784,0.779226,0.000089
2024-01-01 00:00:00,2600.621879,0.334743,0.764458,0.000083
2024-01-01 01:00:00,2765.984289,0.308969,0.745879,0.000095
2024-01-01 02:00:00,2952.482372,0.297092,0.751590,0.000097
2024-01-01 03:00:00,2940.747997,0.268190,0.510430,0.000081
2024-01-01 04:00:00,2958.059300,0.266594,0.510332,0.000110
2024-01-01 05:00:00,2943.865063,0.289504,0.470124,0.000101
2024-01-01 06:00:00,2924.453283,0.308722,0.492946,0.000106
2024-01-01 07:00:00,2879.306016,0.315782,0.431615,0.000117
2024-01-01 08:00:00,2930.110629,0.326282,0.680123,0.003487
2024-01-01 09:00:00,2835.562151,0.329362,0.632932,0.011283
2024-01-01 10:00:00,2842.665934,0.324773,0.572242,0.017607
2024-01-01 11:00:00,2818.300698,0.316131,0.475338,0.025228
2024-01-01 12:00:00,2850.382854,0.327173,0.382958,0.024285
2024-01-01 13:00:00,2848.392842,0.338296,0.344634,0.012573
2024-01-01 14:00:00,2747.338790,0.358703,0.335516,0.002472
2024-01-01 15:00:00,2716.681219,0.383331,0.371120,0.000152
2024-01-01 16:00:00,2839.033292,0.394107,0.375395,0.000179
2024-01-01 17:00:00,2748.761260,0.406464,0.395595,0.000161
2024-01-01 18:00:00,2638.954081,0.404682,0.438994,0.000144
2024-01-01 19:00:00,2562.156002,0.399354,0.493707,0.000121
2024-01-01 20:00:00,2808.302226,0.408349,0.561272,0.000105
2024-01-01 21:00:00,2802.093659,0.417559,0.594956,0.000134
2024-01-01 22:00:00,2642.741790,0.418297,0.598040,0.000111
2024-01-01 23:00:00,2836.296023,0.417500,0.547605,0.000091
2024-01-02 00:00:00,2731.721649,0.415999,0.463642,0.000085
2024-01-02 01:00:00,2828.911466,0.408141,0.438220,0.000083
2024-01-02 02:00:00,2963.694778,0.404124,0.442636,0.000067
2024-01-02 03:00:00,2931.362086,0.417889,0.519921,0.000054
2024-01-02 04:00:00,2976.594551,0.468235,0.624052,0.000075
2024-01-02 05:00:00,3075.835938,0.515042,0.770607,0.000102
2024-01-02 06:00:00,3155.224525,0.561071,0.801630,0.000125
2024-01-02 07:00:00,3223.121745,0.628197,0.812225,0.000175
2024-01-02 08:00:00,3276.657358,0.706185,0.809730,0.004427
2024-01-02 09:00:00,3302.234562,0.792823,0.812775,0.017874
2024-01-02 10:00:00,3283.561375,0.822942,0.813937,0.027980
2024-01-02 11:00:00,3250.061467,0.846634,0.810906,0.031018
2024-01-02 12:00:00,3310.304040,0.870219,0.814064,0.022620
2024-01-02 13:00:00,3420.594422,0.901980,0.826111,0.011755
2024-01-02 14:00:00,3360.568739,0.929617,0.834215,0.002273
2024-01-02 15:00:00,3467.071765,0.965333,0.843021,0.000359
2024-01-02 16:00:00,3618.611220,0.981654,0.841424,0.000370
2024-01-02 17:00:00,3486.175663,0.990380,0.838182,0.000352
