time,load_mw,wind_onshore_pu,wind_offshore_pu,solar_pu
2020-12-31 23:00:00,1449.440141,0.280719,0.212918,0.000049
2021-01-01 00:00:00,1408.273511,0.250487,0.178344,0.000050
2021-01-01 01:00:00,1351.431717,0.228954,0.171988,0.000051
2021-01-01 02:00:00,1298.840570,0.209358,0.148152,0.000048
2021-01-01 03:00:00,1267.963089,0.159567,0.123519,0.000053
2021-01-01 04:00:00,1270.760945,0.146233,0.103804,0.000053
2021-01-01 05:00:00,1298.221648,0.109728,0.081017,0.000059
2021-01-01 06:00:00,1334.571055,0.071609,0.054456,0.000057
2021-01-01 07:00:00,1382.959918,0.072351,0.051274,0.000087
2021-01-01 08:00:00,1436.991589,0.091752,0.050307,0.004824
2021-01-01 09:00:00,1531.842591,0.084579,0.060220,0.020793
2021-01-01 10:00:00,1592.513429,0.095311,0.081007,0.037551
2021-01-01 11:00:00,1630.024976,0.090473,0.072143,0.046712
2021-01-01 12:00:00,1639.749610,0.061047,0.029971,0.047384
2021-01-01 13:00:00,1644.393017,0.040426,0.026119,0.019805
2021-01-01 14:00:00,1670.250252,0.027328,0.029924,0.002665
2021-01-01 15:00:00,1765.389963,0.019825,0.027873,0.000071
2021-01-01 16:00:00,1859.502857,0.017429,0.039066,0.000068
2021-01-01 17:00:00,1843.270131,0.013337,0.030196,0.000092
2021-01-01 18:00:00,1757.327531,0.013482,0.008003,0.000073
2021-01-01 19:00:00,1646.690161,0.012204,0.000663,0.000072
2021-01-01 20:00:00,1562.611417,0.008280,0.000029,0.000071
2021-01-01 21:00:00,1477.071072,0.005028,0.000055,0.000054
2021-01-01 22:00:00,1398.697419,0.004983,0.000013,0.000053
2021-01-01 23:00:00,1323.876977,0.005025,0.000029,0.000054
2021-01-02 00:00:00,1263.272119,0.005323,0.000018,0.000053
2021-01-02 01:00:00,1226.842244,0.003753,0.000014,0.000053
2021-01-02 02:00:00,1215.761353,0.003654,0.000013,0.000054
2021-01-02 03:00:00,1219.628873,0.004035,0.000084,0.000054
2021-01-02 04:00:00,1245.033187,0.003210,0.000228,0.000055
2021-01-02 05:00:00,1305.314544,0.001922,0.000261,0.000061
2021-01-02 06:00:00,1389.564198,0.003302,0.000325,0.000058
2021-01-02 07:00:00,1485.573330,0.002277,0.004615,0.000710
2021-01-02 08:00:00,1594.659985,0.002636,0.004392,0.022457
2021-01-02 09:00:00,1694.219603,0.006540,0.006921,0.078403
2021-01-02 10:00:00,1724.537626,0.012972,0.013171,0.109917
2021-01-02 11:00:00,1720.336146,0.008242,0.007485,0.137650
2021-01-02 12:00:00,1717.306515,0.010501,0.015350,0.122076
2021-01-02 13:00:00,1716.479759,0.017553,0.023525,0.055269
2021-01-02 14:00:00,1748.852602,0.034713,0.048160,0.011285
2021-01-02 15:00:00,1881.884301,0.053513,0.059211,0.000083
2021-01-02 16:00:00,2061.840384,0.057706,0.069661,0.000078
2021-01-02 17:00:00,2046.497677,0.047690,0.063279,0.000085
2021-01-02 18:00:00,1885.780062,0.052285,0.066659,0.000084
2021-01-02 19:00:00,1753.461814,0.058353,0.069403,0.000068
2021-01-02 20:00:00,1645.265814,0.070530,0.087723,0.000063
2021-01-02 21:00:00,1552.427037,0.083881,0.074087,0.000059
2021-01-02 22:00:00,1468.497138,0.114000,0.041102,0.000067
2021-01-02 23:00:00,1420.311159,0.116230,0.048133,0.000061
2021-01-03 00:00:00,1349.055468,0.106936,0.042887,0.000058
2021-01-03 01:00:00,1306.162746,0.134248,0.066542,0.000049
2021-01-03 02:00:00,1303.470360,0.137019,0.092330,0.000055
2021-01-03 03:00:00,1319.998918,0.102166,0.078172,0.000051
2021-01-03 04:00:00,1384.963616,0.095992,0.050737,0.000049
2021-01-03 05:00:00,1431.186878,0.155008,0.111567,0.000058
2021-01-03 06:00:00,1523.190260,0.149689,0.181900,0.000064
2021-01-03 07:00:00,1582.294695,0.199975,0.162132,0.000340
2021-01-03 08:00:00,1674.698932,0.317996,0.222429,0.016617
2021-01-03 09:00:00,1707.890745,0.321550,0.241501,0.067936
2021-01-03 10:00:00,1750.187571,0.377188,0.249161,0.106447
2021-01-03 11:00:00,1763.840133,0.465280,0.292351,0.163972
2021-01-03 12:00:00,1752.987256,0.554787,0.318445,0.111412
2021-01-03 13:00:00,1757.611225,0.616905,0.359971,0.076090
2021-01-03 14:00:00,1785.331528,0.646640,0.362279,0.016138
2021-01-03 15:00:00,1937.442707,0.676317,0.395323,0.000123
2021-01-03 16:00:00,2123.747952,0.712492,0.406015,0.000102
2021-01-03 17:00:00,2060.073516,0.731339,0.410459,0.000096
2021-01-03 18:00:00,1915.800180,0.729404,0.409219,0.000095
2021-01-03 19:00:00,1860.627026,0.698921,0.407945,0.000073
2021-01-03 20:00:00,1680.524808,0.679084,0.402861,0.000071
2021-01-03 21:00:00,1573.792661,0.677800,0.397901,0.000084
2021-01-03 22:00:00,1557.917083,0.586309,0.386766,0.000079
2021-01-03 23:00:00,1478.663154,0.383648,0.293007,0.000069
2021-01-04 00:00:00,1462.345625,0.356902,0.385896,0.000061
2021-01-04 01:00:00,1433.213976,0.322051,0.397690,0.000069
2021-01-04 02:00:00,1463.377812,0.283315,0.402277,0.000065
2021-01-04 03:00:00,1486.117513,0.271644,0.386048,0.000066
2021-01-04 04:00:00,1515.361723,0.429209,0.367117,0.000072
2021-01-04 05:00:00,1621.137214,0.448391,0.364351,0.000084
2021-01-04 06:00:00,1901.010000,0.508806,0.360607,0.000103
2021-01-04 07:00:00,2035.781372,0.560112,0.378885,0.000573
2021-01-04 08:00:00,2069.723376,0.584078,0.382802,0.016053
2021-01-04 09:00:00,2059.702808,0.602331,0.393408,0.075723
2021-01-04 10:00:00,2064.908810,0.587233,0.392325,0.141684
2021-01-04 11:00:00,2046.768498,0.573706,0.377340,0.138694
2021-01-04 12:00:00,2020.444701,0.541184,0.371018,0.128537
2021-01-04 13:00:00,1989.919312,0.508760,0.377600,0.079419
2021-01-04 14:00:00,1984.815673,0.520027,0.385591,0.017125
2021-01-04 15:00:00,2101.022750,0.561523,0.377874,0.000206
2021-01-04 16:00:00,2273.514000,0.581533,0.380290,0.000138
2021-01-04 17:00:00,2208.172632,0.576330,0.360683,0.000107
2021-01-04 18:00:00,2041.627709,0.557903,0.369947,0.000109
2021-01-04 19:00:00,1885.655173,0.553662,0.347251,0.000094
2021-01-04 20:00:00,1763.834160,0.563639,0.361521,0.000084
2021-01-04 21:00:00,1635.243751,0.566991,0.352243,0.000081
2021-01-04 22:00:00,1514.954631,0.573400,0.350566,0.000081
2021-01-04 23:00:00,1470.864738,0.569371,0.349347,0.000078
2021-01-05 00:00:00,1449.395693,0.594018,0.346095,0.000080
2021-01-05 01:00:00,1442.881537,0.590623,0.327297,0.000079
2021-01-05 02:00:00,1442.489580,0.572641,0.361548,0.000078
2021-01-05 03:00:00,1478.839642,0.544832,0.352902,0.000088
2021-01-05 04:00:00,1518.081494,0.550383,0.349153,0.000085
2021-01-05 05:00:00,1699.461864,0.567011,0.362684,0.000094
2021-01-05 06:00:00,1921.324749,0.560883,0.363675,0.000095
2021-01-05 07:00:00,2016.661347,0.540337,0.351406,0.000589
2021-01-05 08:00:00,2028.063535,0.514447,0.375190,0.015094
2021-01-05 09:00:00,2049.497025,0.529293,0.369793,0.053322
2021-01-05 10:00:00,2057.777336,0.533409,0.330569,0.081563
2021-01-05 11:00:00,2050.470159,0.512018,0.330506,0.086359
2021-01-05 12:00:00,2026.604346,0.516993,0.339840,0.083030
