# Hydrogen import supply curve per zone, for section 9.
# GENERATED by data/prepare.py -- do not edit by hand.
# Source: ENTSO-E/ENTSOG TYNDP 2024 Scenarios, Hydrogen inputs,
#   H2 IMPORTS GENERATORS PROPERTIES, Distributed Energy 2050
#   (CC-BY-4.0). Each corridor is one step of a supply curve: a
#   quantity at a price, not an unlimited offer.
# Only Germany has a corridor in this scenario. Denmark and Sweden
#   have none and must reform or electrolyse their own hydrogen.
# The corridor runs from Norway, which is inside this model's own
#   footprint; with no hydrogen network to represent that export,
#   it enters as exogenous supply into Germany. See Appendix D.
zone,corridor,p_nom_mw,price_eur_per_mwh_h2
DE,Ammonia-DE-LOW,1001.1,0.0
DE,NO-DE-LOW,5171.2,41.4
DE,NO-DE-HIGH,12066.2,69.0
DE,Ammonia-DE-HIGH,1501.7,104.0
