time,load_mw,wind_onshore_pu,wind_offshore_pu,solar_pu
2022-12-31 23:00:00,2500.133004,0.142280,0.143335,0.001851
2023-01-01 00:00:00,2443.408120,0.216292,0.268823,0.000284
2023-01-01 01:00:00,2515.124202,0.228254,0.242921,0.000286
2023-01-01 02:00:00,2416.726451,0.235467,0.235437,0.000300
2023-01-01 03:00:00,2382.169601,0.245973,0.167873,0.000296
2023-01-01 04:00:00,2345.655401,0.234189,0.037024,0.000303
2023-01-01 05:00:00,2353.292292,0.233189,0.055995,0.000287
2023-01-01 06:00:00,2367.476952,0.298994,0.113052,0.000284
2023-01-01 07:00:00,2470.108659,0.404964,0.195807,0.000308
2023-01-01 08:00:00,2579.099910,0.459598,0.458301,0.004431
2023-01-01 09:00:00,2694.336033,0.528379,0.619258,0.021773
2023-01-01 10:00:00,2755.755945,0.547062,0.501519,0.037905
2023-01-01 11:00:00,2770.145322,0.580199,0.590490,0.057144
2023-01-01 12:00:00,2756.158127,0.631265,0.264551,0.046835
2023-01-01 13:00:00,2733.674725,0.710584,0.861605,0.032643
2023-01-01 14:00:00,2601.045504,0.704379,0.907050,0.009007
2023-01-01 15:00:00,2700.817396,0.703559,0.890372,0.000278
2023-01-01 16:00:00,2752.501658,0.702086,0.830857,0.000232
2023-01-01 17:00:00,2683.307041,0.673869,0.760120,0.000240
2023-01-01 18:00:00,2509.121005,0.602985,0.801376,0.000120
2023-01-01 19:00:00,2433.744311,0.522969,0.765897,0.000106
2023-01-01 20:00:00,2335.878941,0.475253,0.687256,0.000101
2023-01-01 21:00:00,2287.229546,0.428029,0.746602,0.000068
2023-01-01 22:00:00,2250.010968,0.361289,0.671758,0.000043
2023-01-01 23:00:00,2124.244248,0.277485,0.575209,0.000049
2023-01-02 00:00:00,2090.296813,0.227915,0.460379,0.000045
2023-01-02 01:00:00,2103.713620,0.199379,0.380248,0.000031
2023-01-02 02:00:00,2136.433070,0.177828,0.316973,0.000019
2023-01-02 03:00:00,2141.237951,0.141348,0.286348,0.000025
2023-01-02 04:00:00,2151.278982,0.116079,0.254342,0.000030
2023-01-02 05:00:00,2321.773930,0.063904,0.134057,0.000045
2023-01-02 06:00:00,2573.196570,0.040575,0.061081,0.000063
2023-01-02 07:00:00,2736.074244,0.032154,0.024475,0.000063
2023-01-02 08:00:00,2870.264978,0.032934,0.014466,0.002038
2023-01-02 09:00:00,2988.579378,0.032894,0.047446,0.013934
2023-01-02 10:00:00,3015.774558,0.037793,0.047696,0.025833
2023-01-02 11:00:00,2946.327591,0.053151,0.152436,0.029018
2023-01-02 12:00:00,2975.639693,0.090029,0.344309,0.035681
2023-01-02 13:00:00,2915.059597,0.133623,0.411761,0.025414
2023-01-02 14:00:00,2876.704018,0.188300,0.582862,0.007912
2023-01-02 15:00:00,2953.119108,0.302933,0.606153,0.000210
2023-01-02 16:00:00,3140.408175,0.354334,0.721227,0.000241
2023-01-02 17:00:00,3008.318133,0.447159,0.767898,0.000179
2023-01-02 18:00:00,3101.710252,0.484839,0.858552,0.000156
2023-01-02 19:00:00,2906.669964,0.565730,0.863411,0.000209
2023-01-02 20:00:00,2584.786990,0.581850,0.881751,0.000151
2023-01-02 21:00:00,2487.832375,0.515799,0.904471,0.000119
2023-01-02 22:00:00,2379.331508,0.478148,0.871435,0.000163
2023-01-02 23:00:00,2255.259659,0.446886,0.896323,0.000142
2023-01-03 00:00:00,2244.847589,0.424381,0.903447,0.000056
2023-01-03 01:00:00,2222.388415,0.414184,0.868137,0.000082
2023-01-03 02:00:00,2205.772548,0.387861,0.733345,0.000069
2023-01-03 03:00:00,2203.959063,0.342165,0.613771,0.000056
2023-01-03 04:00:00,2283.553981,0.293353,0.532371,0.000059
2023-01-03 05:00:00,2582.330871,0.259635,0.372558,0.000075
2023-01-03 06:00:00,2937.350036,0.231497,0.321799,0.000110
2023-01-03 07:00:00,3092.611151,0.203750,0.319824,0.000579
2023-01-03 08:00:00,3089.172990,0.182012,0.366390,0.019828
2023-01-03 09:00:00,3125.755911,0.165072,0.378044,0.078442
2023-01-03 10:00:00,3048.810406,0.162366,0.340499,0.150881
2023-01-03 11:00:00,2995.144197,0.177688,0.399411,0.152143
2023-01-03 12:00:00,2982.501624,0.157474,0.187933,0.133232
2023-01-03 13:00:00,2926.940762,0.139505,0.233368,0.091418
2023-01-03 14:00:00,2902.757000,0.129843,0.408552,0.019375
2023-01-03 15:00:00,2999.367345,0.168819,0.468738,0.000195
2023-01-03 16:00:00,3198.707356,0.242074,0.559100,0.000124
2023-01-03 17:00:00,3074.362452,0.281633,0.659535,0.000133
2023-01-03 18:00:00,3088.877432,0.351891,0.678296,0.000105
2023-01-03 19:00:00,2766.228540,0.383461,0.653925,0.000084
2023-01-03 20:00:00,2643.934779,0.409244,0.712026,0.000078
2023-01-03 21:00:00,2524.132391,0.444185,0.755239,0.000098
2023-01-03 22:00:00,2453.051181,0.504863,0.808490,0.000092
2023-01-03 23:00:00,2513.956513,0.567998,0.856035,0.000117
2023-01-04 00:00:00,2501.992840,0.631634,0.878133,0.000133
2023-01-04 01:00:00,2640.058455,0.693888,0.856441,0.000163
2023-01-04 02:00:00,2771.211529,0.737363,0.856561,0.000231
2023-01-04 03:00:00,2831.301747,0.765077,0.786187,0.000272
2023-01-04 04:00:00,2898.340025,0.778810,0.857634,0.000300
2023-01-04 05:00:00,3086.391388,0.761089,0.887979,0.000312
2023-01-04 06:00:00,3295.969349,0.711662,0.909362,0.000552
2023-01-04 07:00:00,3393.009640,0.659473,0.898961,0.000316
2023-01-04 08:00:00,3384.866897,0.672766,0.846222,0.001167
2023-01-04 09:00:00,3402.219239,0.686536,0.840148,0.008770
2023-01-04 10:00:00,3400.933157,0.692177,0.886745,0.021864
2023-01-04 11:00:00,3335.819390,0.682894,0.885145,0.024177
2023-01-04 12:00:00,3333.769658,0.705114,0.882512,0.019774
2023-01-04 13:00:00,3322.601454,0.725078,0.830183,0.012908
2023-01-04 14:00:00,3210.159896,0.737289,0.757814,0.003228
2023-01-04 15:00:00,3292.194163,0.762644,0.782630,0.000325
2023-01-04 16:00:00,3478.331162,0.794789,0.833305,0.000347
2023-01-04 17:00:00,3302.291478,0.837554,0.795243,0.000374
2023-01-04 18:00:00,3118.144186,0.852920,0.834900,0.000355
2023-01-04 19:00:00,3048.648880,0.870667,0.818558,0.000325
2023-01-04 20:00:00,3021.775404,0.837243,0.886947,0.000348
2023-01-04 21:00:00,2893.166542,0.811498,0.846161,0.000357
2023-01-04 22:00:00,2779.275707,0.750653,0.846300,0.000325
2023-01-04 23:00:00,2817.645056,0.694563,0.816315,0.000340
2023-01-05 00:00:00,2857.299278,0.661575,0.847277,0.000354
2023-01-05 01:00:00,2832.099557,0.633550,0.826552,0.000336
2023-01-05 02:00:00,2785.155180,0.614609,0.786594,0.000309
2023-01-05 03:00:00,2783.341908,0.582354,0.878503,0.000348
2023-01-05 04:00:00,2823.747274,0.582954,0.876107,0.000340
2023-01-05 05:00:00,3049.266546,0.612339,0.773375,0.000301
2023-01-05 06:00:00,3172.717442,0.547578,0.757347,0.000257
2023-01-05 07:00:00,3252.397686,0.415989,0.612575,0.000452
2023-01-05 08:00:00,3170.547690,0.309253,0.525816,0.015296
2023-01-05 09:00:00,3218.963993,0.230208,0.404275,0.066065
2023-01-05 10:00:00,3133.333270,0.165194,0.233948,0.118496
2023-01-05 11:00:00,3062.208787,0.109951,0.138069,0.126806
2023-01-05 12:00:00,3047.625559,0.068418,0.083323,0.114577
2023-01-05 13:00:00,3110.996822,0.039602,0.053309,0.068439
2023-01-05 14:00:00,2943.687017,0.020600,0.047870,0.017253
2023-01-05 15:00:00,3046.228502,0.009296,0.069731,0.000233
2023-01-05 16:00:00,3196.932003,0.012198,0.109591,0.000085
2023-01-05 17:00:00,3065.595914,0.027351,0.187345,0.000080
2023-01-05 18:00:00,2870.987128,0.043756,0.281391,0.000042
2023-01-05 19:00:00,2724.615135,0.077929,0.341989,0.000036
2023-01-05 20:00:00,2609.584333,0.136389,0.430067,0.000045
2023-01-05 21:00:00,2494.348028,0.203425,0.651293,0.000059
2023-01-05 22:00:00,2473.185178,0.277817,0.780760,0.000073
2023-01-05 23:00:00,2425.251784,0.367777,0.867373,0.000090
2023-01-06 00:00:00,2395.352262,0.477119,0.886458,0.000104
2023-01-06 01:00:00,2436.454855,0.607624,0.859841,0.000115
2023-01-06 02:00:00,2501.222094,0.716199,0.866892,0.000135
2023-01-06 03:00:00,2547.536869,0.770885,0.896509,0.000134
2023-01-06 04:00:00,2997.293964,0.767515,0.871276,0.000107
2023-01-06 05:00:00,2946.802520,0.809833,0.884052,0.000146
2023-01-06 06:00:00,3362.699276,0.834894,0.894527,0.000238
2023-01-06 07:00:00,3746.818196,0.820568,0.862154,0.000265
2023-01-06 08:00:00,3495.286664,0.792827,0.851619,0.001212
2023-01-06 09:00:00,3335.469212,0.569024,0.874102,0.016040
2023-01-06 10:00:00,3239.199222,0.442775,0.875321,0.072774
2023-01-06 11:00:00,3073.161848,0.453291,0.833640,0.115686
2023-01-06 12:00:00,2907.268650,0.515833,0.676817,0.091128
2023-01-06 13:00:00,2782.555818,0.555499,0.649644,0.049026
2023-01-06 14:00:00,3283.962263,0.568099,0.601257,0.008981
2023-01-06 15:00:00,3346.042423,0.513594,0.553023,0.000247
2023-01-06 16:00:00,3587.710023,0.491672,0.458356,0.000223
2023-01-06 17:00:00,3430.806527,0.497388,0.706228,0.000161
2023-01-06 18:00:00,3290.034594,0.435282,0.513867,0.000127
2023-01-06 19:00:00,2948.480010,0.425359,0.518075,0.000093
2023-01-06 20:00:00,2867.573362,0.370001,0.553953,0.000060
2023-01-06 21:00:00,2697.055741,0.339771,0.704440,0.000047
2023-01-06 22:00:00,2159.834640,0.336665,0.613459,0.000063
2023-01-06 23:00:00,2187.195107,0.265956,0.457775,0.000047
2023-01-07 00:00:00,2125.712434,0.211486,0.450221,0.000050
2023-01-07 01:00:00,2111.242032,0.218393,0.487970,0.000051
2023-01-07 02:00:00,2198.308341,0.238081,0.456939,0.000046
2023-01-07 03:00:00,2254.442022,0.262639,0.617384,0.000042
2023-01-07 04:00:00,2321.522010,0.256424,0.681883,0.000047
2023-01-07 05:00:00,2373.826870,0.271039,0.692026,0.000063
2023-01-07 06:00:00,2485.974587,0.292127,0.697988,0.000068
2023-01-07 07:00:00,2550.319024,0.330160,0.731260,0.000094
2023-01-07 08:00:00,2549.775535,0.376727,0.756264,0.002756
2023-01-07 09:00:00,2598.114889,0.431190,0.809091,0.014217
2023-01-07 10:00:00,2679.375663,0.467819,0.837173,0.019898
2023-01-07 11:00:00,2671.334609,0.497190,0.865148,0.022080
2023-01-07 12:00:00,2600.800761,0.491013,0.858864,0.021361
2023-01-07 13:00:00,2633.370932,0.454882,0.872602,0.019024
2023-01-07 14:00:00,2615.560892,0.432682,0.837631,0.008521
2023-01-07 15:00:00,2659.129686,0.432792,0.810451,0.000102
2023-01-07 16:00:00,2822.091092,0.441211,0.846179,0.000104
2023-01-07 17:00:00,2743.991893,0.482660,0.843587,0.000116
2023-01-07 18:00:00,2571.002327,0.525021,0.860121,0.000126
2023-01-07 19:00:00,2576.637259,0.599015,0.854111,0.000146
2023-01-07 20:00:00,2521.739335,0.671499,0.878066,0.000134
2023-01-07 21:00:00,2490.450186,0.703207,0.873875,0.000118
2023-01-07 22:00:00,2537.337396,0.683337,0.901567,0.000123
2023-01-07 23:00:00,2578.565631,0.688787,0.879855,0.000143
2023-01-08 00:00:00,2591.567533,0.694420,0.897378,0.000153
2023-01-08 01:00:00,2556.856213,0.723348,0.893539,0.000165
2023-01-08 02:00:00,2558.480839,0.727972,0.887329,0.000165
2023-01-08 03:00:00,2510.530256,0.743413,0.886718,0.000179
2023-01-08 04:00:00,2485.369158,0.709890,0.889145,0.000138
2023-01-08 05:00:00,2510.607989,0.641337,0.894453,0.000143
2023-01-08 06:00:00,2614.421774,0.564312,0.840780,0.000114
2023-01-08 07:00:00,2639.013814,0.472459,0.886779,0.000104
2023-01-08 08:00:00,2529.618740,0.387568,0.879367,0.005987
2023-01-08 09:00:00,2547.989787,0.355144,0.869920,0.024387
2023-01-08 10:00:00,2576.602222,0.335510,0.852491,0.036035
2023-01-08 11:00:00,2462.094682,0.337416,0.828581,0.044095
2023-01-08 12:00:00,2443.444684,0.344707,0.801237,0.050340
2023-01-08 13:00:00,2379.550618,0.335521,0.743544,0.038871
2023-01-08 14:00:00,2379.984919,0.316193,0.723275,0.015639
2023-01-08 15:00:00,2483.084419,0.303526,0.704050,0.000374
2023-01-08 16:00:00,2732.192302,0.305807,0.724560,0.000087
2023-01-08 17:00:00,2657.071938,0.292675,0.687782,0.000095
2023-01-08 18:00:00,2465.854982,0.281388,0.681373,0.000085
2023-01-08 19:00:00,2352.110478,0.264270,0.714769,0.000081
2023-01-08 20:00:00,2307.531012,0.256800,0.625531,0.000058
2023-01-08 21:00:00,2219.000745,0.275202,0.620590,0.000069
2023-01-08 22:00:00,2269.100418,0.275974,0.686296,0.000084
2023-01-08 23:00:00,2298.235408,0.296142,0.649819,0.000086
2023-01-09 00:00:00,2389.349285,0.314178,0.717714,0.000086
2023-01-09 01:00:00,2490.728881,0.330336,0.719857,0.000120
2023-01-09 02:00:00,2628.066306,0.349546,0.720138,0.000092
2023-01-09 03:00:00,2638.299278,0.348444,0.596177,0.000108
2023-01-09 04:00:00,2697.161273,0.360038,0.722330,0.000101
2023-01-09 05:00:00,2683.154166,0.356999,0.716130,0.000124
