technology,CO2 intensity,FOM,VOM,efficiency,efficiency-heat,fuel,investment,lifetime,eur_year,cost_year,source_tag
solar-utility,,2.5292,,,,,292.5769,40.0000,2020,2050,v0.13.2
solar-rooftop,,1.6059,,,,,524.8579,40.0000,2020,2050,v0.13.2
onwind,,1.1775,1.2857,,,,1019.1375,30.0000,2020,2050,v0.13.2
offwind,,2.1655,0.0212,,,,1642.7437,30.0000,2020,2050,v0.13.2
hydro,,1.0000,,0.9000,,,2274.8177,80.0000,2020,2050,v0.13.2
ror,,2.0000,,0.9000,,,3412.2266,80.0000,2020,2050,v0.13.2
PHS,,1.0000,,0.7500,,,2274.8177,80.0000,2020,2050,v0.13.2
nuclear,,1.2700,3.5464,0.3260,,3.4122,8594.1354,40.0000,2020,2050,v0.13.2
coal,0.3361,1.3100,3.2612,0.3560,,9.5542,3827.1629,40.0000,2020,2050,v0.13.2
CCGT,,3.2500,4.2329,0.6000,,,846.5773,25.0000,2020,2050,v0.13.2
OCGT,,1.8023,4.7620,0.4300,,,435.8180,25.0000,2020,2050,v0.13.2
oil,0.2571,2.4095,6.3493,0.3500,,52.9111,355.5625,25.0000,2020,2050,v0.13.2
central solid biomass CHP,,2.8518,4.9394,0.2652,0.8294,,3339.6951,25.0000,2020,2050,v0.13.2
waste CHP,,2.2917,27.0247,0.2165,0.7625,,7480.4488,25.0000,2020,2050,v0.13.2
battery inverter,,0.9000,,0.9600,,,63.8040,10.0000,2020,2050,v0.13.2
battery storage,,,,,,,79.7550,30.0000,2020,2050,v0.13.2
central air-sourced heat pump,,0.2336,2.8255,3.4000,,,906.0988,25.0000,2020,2050,v0.13.2
central gas boiler,,3.4000,1.0582,1.0400,,,52.9111,25.0000,2020,2050,v0.13.2
