technology,CO2 intensity,FOM,VOM,efficiency,efficiency-heat,fuel,investment,lifetime,eur_year,cost_year,source_tag
solar-utility,,2.4980,,,,,352.2779,40.0000,2020,2035,v0.13.2
solar-rooftop,,1.4828,,,,,641.3730,40.0000,2020,2035,v0.13.2
onwind,,1.2017,1.3715,,,,1065.1670,30.0000,2020,2035,v0.13.2
offwind,,2.2500,0.0212,,,,1735.8981,30.0000,2020,2035,v0.13.2
hydro,,1.0000,,0.9000,,,2274.8177,80.0000,2020,2035,v0.13.2
ror,,2.0000,,0.9000,,,3412.2266,80.0000,2020,2035,v0.13.2
PHS,,1.0000,,0.7500,,,2274.8177,80.0000,2020,2035,v0.13.2
nuclear,,1.2700,3.5464,0.3260,,3.4122,8594.1354,40.0000,2020,2035,v0.13.2
coal,0.3361,1.3100,3.2612,0.3560,,9.5542,3827.1629,40.0000,2020,2035,v0.13.2
CCGT,,3.3252,4.3916,0.5850,,,870.3873,25.0000,2020,2035,v0.13.2
OCGT,,1.7850,4.7620,0.4150,,,454.3898,25.0000,2020,2035,v0.13.2
oil,0.2571,2.4498,6.3493,0.3500,,52.9111,361.1181,25.0000,2020,2035,v0.13.2
central solid biomass CHP,,2.8627,4.8732,0.2687,0.8257,,3493.3000,25.0000,2020,2035,v0.13.2
waste CHP,,2.3408,27.8042,0.2102,0.7620,,8307.0580,25.0000,2020,2035,v0.13.2
battery inverter,,0.4154,,0.9600,,,138.2420,10.0000,2020,2035,v0.13.2
battery storage,,,,,,,125.4812,27.5000,2020,2035,v0.13.2
central air-sourced heat pump,,0.2336,2.4868,3.2500,,,906.0988,25.0000,2020,2035,v0.13.2
central gas boiler,,3.7000,1.0582,1.0400,,,52.9111,25.0000,2020,2035,v0.13.2
