technology,CO2 intensity,FOM,VOM,efficiency,efficiency-heat,fuel,investment,lifetime,eur_year,cost_year,source_tag
solar-utility,,2.5269,,,,,306.7008,40.0000,2020,2045,v0.13.2
solar-rooftop,,1.5792,,,,,552.3387,40.0000,2020,2045,v0.13.2
onwind,,1.1817,1.3000,,,,1026.8091,30.0000,2020,2045,v0.13.2
offwind,,2.1709,0.0212,,,,1659.5769,30.0000,2020,2045,v0.13.2
hydro,,1.0000,,0.9000,,,2274.8177,80.0000,2020,2045,v0.13.2
ror,,2.0000,,0.9000,,,3412.2266,80.0000,2020,2045,v0.13.2
PHS,,1.0000,,0.7500,,,2274.8177,80.0000,2020,2045,v0.13.2
nuclear,,1.2700,3.5464,0.3260,,3.4122,8594.1354,40.0000,2020,2045,v0.13.2
coal,0.3361,1.3100,3.2612,0.3560,,9.5542,3827.1629,40.0000,2020,2045,v0.13.2
CCGT,,3.2755,4.2858,0.5950,,,854.5140,25.0000,2020,2045,v0.13.2
OCGT,,1.7964,4.7620,0.4250,,,442.0086,25.0000,2020,2045,v0.13.2
oil,0.2571,2.4231,6.3493,0.3500,,52.9111,357.4144,25.0000,2020,2045,v0.13.2
central solid biomass CHP,,2.8555,4.9173,0.2664,0.8282,,3390.8967,25.0000,2020,2045,v0.13.2
waste CHP,,2.3092,27.2845,0.2144,0.7624,,7755.9852,25.0000,2020,2045,v0.13.2
battery inverter,,0.6750,,0.9600,,,85.0720,10.0000,2020,2045,v0.13.2
battery storage,,,,,,,89.8573,30.0000,2020,2045,v0.13.2
central air-sourced heat pump,,0.2336,2.5715,3.3500,,,906.0988,25.0000,2020,2045,v0.13.2
central gas boiler,,3.5000,1.0582,1.0400,,,52.9111,25.0000,2020,2045,v0.13.2
