technology,CO2 intensity,FOM,VOM,efficiency,efficiency-heat,fuel,investment,lifetime,eur_year,cost_year,source_tag
solar-utility,,2.5247,,,,,320.8246,40.0000,2020,2040,v0.13.2
solar-rooftop,,1.5552,,,,,579.8196,40.0000,2020,2040,v0.13.2
onwind,,1.1858,1.3143,,,,1034.4807,30.0000,2020,2040,v0.13.2
offwind,,2.1762,0.0212,,,,1676.4101,30.0000,2020,2040,v0.13.2
hydro,,1.0000,,0.9000,,,2274.8177,80.0000,2020,2040,v0.13.2
ror,,2.0000,,0.9000,,,3412.2266,80.0000,2020,2040,v0.13.2
PHS,,1.0000,,0.7500,,,2274.8177,80.0000,2020,2040,v0.13.2
nuclear,,1.2700,3.5464,0.3260,,3.4122,8594.1354,40.0000,2020,2040,v0.13.2
coal,0.3361,1.3100,3.2612,0.3560,,9.5542,3827.1629,40.0000,2020,2040,v0.13.2
CCGT,,3.3006,4.3387,0.5900,,,862.4506,25.0000,2020,2040,v0.13.2
OCGT,,1.7906,4.7620,0.4200,,,448.1992,25.0000,2020,2040,v0.13.2
oil,0.2571,2.4365,6.3493,0.3500,,52.9111,359.2662,25.0000,2020,2040,v0.13.2
central solid biomass CHP,,2.8591,4.8953,0.2675,0.8269,,3442.0984,25.0000,2020,2040,v0.13.2
waste CHP,,2.3255,27.5443,0.2123,0.7622,,8031.5216,25.0000,2020,2040,v0.13.2
battery inverter,,0.5400,,0.9600,,,106.3400,10.0000,2020,2040,v0.13.2
battery storage,,,,,,,99.9596,30.0000,2020,2040,v0.13.2
central air-sourced heat pump,,0.2336,2.3175,3.3000,,,906.0988,25.0000,2020,2040,v0.13.2
central gas boiler,,3.6000,1.0582,1.0400,,,52.9111,25.0000,2020,2040,v0.13.2
