technology,CO2 intensity,FOM,VOM,efficiency,efficiency-heat,fuel,investment,lifetime,eur_year,cost_year,source_tag
solar-utility,,2.4757,,,,,383.7312,40.0000,2020,2030,v0.13.2
solar-rooftop,,1.4234,,,,,702.9265,40.0000,2020,2030,v0.13.2
onwind,,1.2167,1.4286,,,,1095.8533,30.0000,2020,2030,v0.13.2
offwind,,2.3185,0.0212,,,,1795.3863,30.0000,2020,2030,v0.13.2
hydro,,1.0000,,0.9000,,,2274.8177,80.0000,2020,2030,v0.13.2
ror,,2.0000,,0.9000,,,3412.2266,80.0000,2020,2030,v0.13.2
PHS,,1.0000,,0.7500,,,2274.8177,80.0000,2020,2030,v0.13.2
nuclear,,1.2700,3.5464,0.3260,,3.4122,8594.1354,40.0000,2020,2030,v0.13.2
coal,0.3361,1.3100,3.2612,0.3560,,9.5542,3827.1629,40.0000,2020,2030,v0.13.2
CCGT,,3.3494,4.4445,0.5800,,,878.3240,25.0000,2020,2030,v0.13.2
OCGT,,1.7795,4.7620,0.4100,,,460.5804,25.0000,2020,2030,v0.13.2
oil,0.2571,2.4630,6.3493,0.3500,,52.9111,362.9700,25.0000,2020,2030,v0.13.2
central solid biomass CHP,,2.8661,4.8512,0.2699,0.8245,,3544.5017,25.0000,2020,2030,v0.13.2
waste CHP,,2.3550,28.0640,0.2081,0.7619,,8582.5944,25.0000,2020,2030,v0.13.2
battery inverter,,0.3375,,0.9600,,,145.0549,10.0000,2020,2030,v0.13.2
battery storage,,,,,,,128.7363,25.0000,2020,2030,v0.13.2
central air-sourced heat pump,,0.2336,2.6561,3.2000,,,906.0988,25.0000,2020,2030,v0.13.2
central gas boiler,,3.8000,1.0582,1.0400,,,52.9111,25.0000,2020,2030,v0.13.2
